metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,0.0,0.0,0.0,0.0,0.0
valid_samples,0.0,0.0,0.0,0.0,0.0
skipped_samples,0.0,0.0,0.0,0.0,0.0
skip_pct,0.0,0.0,0.0,0.0,0.0
abs_rel,0.07,3.417,0.602778,2.839,4.205
sq_rel,0.652,50.243,12.966957,36.064,68.236
rmse,6.026,9.8468,2.208646,7.551,13.279
rmse_log,0.096,0.8882,0.108937,0.804,1.036
a1,0.953,0.306,0.066155,0.224,0.388
a2,0.994,0.5312,0.070747,0.434,0.6
a3,0.999,0.6944,0.054702,0.616,0.747
