split,total_samples,valid_samples,skipped_samples,skip_pct,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
test_main,0,0,0,0.0,0.052,0.356,4.479,0.073,0.98,0.998,1.0
test_fold1,0,0,0,0.0,0.064,0.471,4.753,0.087,0.964,0.992,0.999
test_fold2,0,0,0,0.0,0.03,0.119,2.413,0.044,0.995,1.0,1.0
test_fold3,0,0,0,0.0,0.046,0.234,3.752,0.06,0.994,1.0,1.0
test_fold4,0,0,0,0.0,0.062,0.693,7.045,0.089,0.954,0.997,1.0
test_fold5,0,0,0,0.0,0.08,1.129,6.404,0.11,0.933,0.986,0.995
