metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,0.0,0.0,0.0,0.0,0.0
valid_samples,0.0,0.0,0.0,0.0,0.0
skipped_samples,0.0,0.0,0.0,0.0,0.0
skip_pct,0.0,0.0,0.0,0.0,0.0
abs_rel,0.052,0.0564,0.019047,0.03,0.08
sq_rel,0.356,0.5292,0.401679,0.119,1.129
rmse,4.479,4.8734,1.896324,2.413,7.045
rmse_log,0.073,0.078,0.02601,0.044,0.11
a1,0.98,0.968,0.026655,0.933,0.995
a2,0.998,0.995,0.006,0.986,1.0
a3,1.0,0.9988,0.002168,0.995,1.0
