split,total_samples,valid_samples,skipped_samples,skip_pct,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
test_main,551,551,0,0.0,0.051,0.355,4.436,0.073,0.979,0.998,1.0
test_fold1,2233,2168,65,2.911,0.061,0.5,4.93,0.087,0.967,0.992,0.996
test_fold2,2234,2023,211,9.445,0.032,0.132,2.513,0.046,0.994,1.0,1.0
test_fold3,2278,2278,0,0.0,0.045,0.219,3.561,0.059,0.993,1.0,1.0
test_fold4,2234,2233,1,0.045,0.058,0.677,6.859,0.085,0.953,0.996,1.0
test_fold5,2274,2274,0,0.0,0.079,0.914,5.932,0.106,0.94,0.989,0.995
