split,total_samples,valid_samples,skipped_samples,skip_pct,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
test_main,551,551,0,0.0,0.062,0.595,5.77,0.09,0.965,0.993,0.998
test_fold1,2177,2160,17,0.781,0.073,0.769,6.347,0.109,0.94,0.987,0.995
test_fold2,2014,2014,0,0.0,0.029,0.104,2.266,0.041,0.997,1.0,1.0
test_fold3,2274,2274,0,0.0,0.055,0.387,4.753,0.072,0.981,1.0,1.0
test_fold4,2223,2223,0,0.0,0.074,1.117,8.913,0.113,0.929,0.987,0.996
test_fold5,2271,2271,0,0.0,0.073,0.793,5.466,0.101,0.945,0.992,0.996
