split,total_samples,valid_samples,skipped_samples,skip_pct,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
test_main,0,0,0,0.0,0.148,2.753,11.57,0.184,0.787,0.948,0.991
test_fold1,0,0,0,0.0,0.154,2.924,11.942,0.189,0.774,0.945,0.991
test_fold2,0,0,0,0.0,0.107,1.363,8.781,0.147,0.882,0.98,0.995
test_fold3,0,0,0,0.0,0.138,2.172,10.522,0.18,0.82,0.961,0.986
test_fold4,0,0,0,0.0,0.197,3.955,14.668,0.239,0.651,0.914,0.991
test_fold5,0,0,0,0.0,0.14,2.217,11.112,0.178,0.805,0.971,0.994
