metric,main,fold_mean,fold_std,fold_min,fold_max
total_samples,0.0,0.0,0.0,0.0,0.0
valid_samples,0.0,0.0,0.0,0.0,0.0
skipped_samples,0.0,0.0,0.0,0.0,0.0
skip_pct,0.0,0.0,0.0,0.0,0.0
abs_rel,0.148,0.1472,0.032706,0.107,0.197
sq_rel,2.753,2.5262,0.971315,1.363,3.955
rmse,11.57,11.405,2.161391,8.781,14.668
rmse_log,0.184,0.1866,0.033306,0.147,0.239
a1,0.787,0.7864,0.085295,0.651,0.882
a2,0.948,0.9542,0.025956,0.914,0.98
a3,0.991,0.9914,0.003507,0.986,0.995
