split,total_samples,valid_samples,skipped_samples,skip_pct,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
test_main,551,551,0,0.0,0.051,0.362,4.527,0.073,0.979,0.998,1.0
test_fold1,2177,2160,17,0.781,0.063,0.478,4.86,0.087,0.965,0.992,0.999
test_fold2,2014,2012,2,0.099,0.029,0.123,2.422,0.044,0.994,1.0,1.0
test_fold3,2274,2274,0,0.0,0.045,0.228,3.745,0.059,0.995,1.0,1.0
test_fold4,2223,2223,0,0.0,0.063,0.757,7.385,0.093,0.947,0.996,1.0
test_fold5,2271,2271,0,0.0,0.079,1.075,6.156,0.106,0.934,0.989,0.995
