split,total_samples,valid_samples,skipped_samples,skip_pct,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
test_main,551,551,0,0.0,0.308,10.105,22.58,0.44,0.512,0.767,0.885
test_fold1,2177,2160,17,0.781,0.31,9.598,20.311,0.474,0.528,0.744,0.853
test_fold2,2014,2012,2,0.099,0.215,5.085,16.054,0.304,0.666,0.871,0.938
test_fold3,2274,2274,0,0.0,0.267,8.114,21.709,0.352,0.544,0.827,0.932
test_fold4,2223,2223,0,0.0,0.379,16.871,32.853,0.55,0.41,0.671,0.819
test_fold5,2271,2271,0,0.0,0.402,21.303,26.651,0.453,0.498,0.712,0.823
