split,total_samples,valid_samples,skipped_samples,skip_pct,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
test_main,551,551,0,0.0,0.051,0.349,4.488,0.072,0.983,0.998,1.0
test_fold1,2177,2160,17,0.781,0.066,0.539,5.22,0.092,0.957,0.992,0.998
test_fold2,2014,2012,2,0.099,0.03,0.127,2.319,0.043,0.992,1.0,1.0
test_fold3,2274,2274,0,0.0,0.047,0.244,3.912,0.062,0.994,1.0,1.0
test_fold4,2223,2223,0,0.0,0.058,0.617,6.813,0.084,0.963,0.997,1.0
test_fold5,2271,2271,0,0.0,0.072,0.917,5.731,0.102,0.952,0.989,0.993
